SB	108	first	2480:2
SB	108	next	109
SB	108	last	2488:4
SB	103	last	2397:7
SB	103	first	2382:4
SB	103	next	104
SB	102	last	2369:12
SB	102	first	2352:2
SB	102	next	103
SB	105	first	2420:5
SB	105	next	106
SB	105	last	2426:8
SB	104	last	2415:3
SB	104	next	105
SB	104	first	2407:7
TOK	2800:9	next	2809:2
SB	101	first	2326:8
SB	101	last	2339:12
SB	101	next	102
SB	100	last	2317:8
SB	100	first	2303:7
SB	100	next	101
POS	492	token	2940:3
POS	491	token	2937:2
TOK	1178:3	next	1182:5
POS	494	token	2949:5
POS	493	token	2944:4
SB	140	last	3095:7
SB	140	first	3083:3
SB	140	next	141
POS	496	token	2961:3
SB	141	next	142
SB	141	last	3138:5
SB	141	first	3103:1
TOK	986:7	next	994:1
POS	495	token	2955:5
POS	498	token	2973:7
POS	497	token	2965:5
POS	490	token	2929:7
SB	139	first	3067:7
SB	139	last	3075:6
SB	139	next	140
TOK	874:4	next	879:5
TOK	3259:3	next	3263:4
TOK	3570:3	next	3574:1
SB	134	next	135
SB	134	first	2949:5
SB	134	last	2965:5
POS	488	token	2918:3
SB	133	first	2929:7
SB	133	next	134
SB	133	last	2944:4
POS	489	token	2922:6
SB	132	last	2922:6
SB	132	next	133
SB	132	first	2907:4
SB	131	last	2900:6
SB	131	next	132
SB	131	first	2888:4
SB	138	next	139
SB	138	first	3022:11
SB	138	last	3059:5
SB	137	next	138
SB	137	last	3012:9
SB	137	first	3000:11
SB	136	next	137
SB	136	last	2992:7
SB	136	first	2988:3
TOK	910:3	next	914:2
SB	135	first	2973:7
SB	135	next	136
SB	135	last	2981:5
SB	130	last	2883:4
SB	130	first	2875:1
SB	130	next	131
TOK	4424:4	next	4429:9
TOK	1443:4	next	1448:3
SB	129	last	2869:4
SB	129	next	130
SB	129	first	2861:7
SB	128	next	129
SB	128	last	2847:10
SB	128	first	2840:2
SB	121	last	2696:5
SB	121	first	2683:3
SB	121	next	122
SB	120	first	2669:7
SB	120	next	121
SB	120	last	2677:4
SB	123	next	124
SB	123	first	2725:8
SB	123	last	2734:11
POS	499	token	2981:5
SB	122	next	123
SB	122	last	2715:9
SB	122	first	2702:5
TOK	3766:9	next	3776:4
SB	125	first	2762:7
SB	125	next	126
SB	125	last	2770:3
SB	124	first	2746:7
SB	124	next	125
SB	124	last	2754:5
SB	127	next	128
SB	127	first	2786:8
SB	127	last	2833:6
TOK	3114:2	next	3116:5
SB	126	last	2781:4
SB	126	next	127
SB	126	first	2775:2
SB	144	last	3196:4
SB	144	next	145
SB	144	first	3180:4
SB	145	first	3203:7
SB	145	next	146
SB	145	last	3211:4
TOK	103:1	next	106:4
SB	142	last	3168:4
SB	142	next	143
SB	142	first	3144:5
SB	143	last	3173:6
SB	143	first	3173:6
SB	143	next	144
SB	148	next	149
SB	148	first	3268:2
SB	148	last	3283:11
SB	149	next	150
SB	149	last	3311:6
SB	149	first	3295:8
TOK	840:5	next	845:1
SB	146	first	3217:9
SB	146	next	147
SB	146	last	3227:12
SB	147	first	3240:4
SB	147	next	148
SB	147	last	3263:4
TOK	931:4	next	935:2
TOK	4604:3	next	4608:3
TOK	2355:6	next	2362:2
TOK	1730:7	next	1738:2
TOK	2395:1	next	2397:7
TOK	1938:2	next	1941:8
SB	152	last	3365:3
SB	152	next	153
SB	152	first	3347:3
SB	151	first	3334:7
SB	151	next	152
SB	151	last	3342:3
SB	150	next	151
SB	150	first	3318:5
SB	150	last	3324:7
SB	153	next	154
SB	153	last	3378:3
SB	153	first	3369:2
SB	154	next	155
SB	154	first	3382:9
SB	154	last	3392:6
SB	155	last	3409:4
SB	155	first	3401:7
SB	155	next	156
SB	156	first	3415:7
SB	156	next	157
SB	156	last	3423:5
SB	157	last	3440:3
SB	157	next	158
SB	157	first	3429:5
SB	158	last	3449:13
SB	158	next	159
SB	158	first	3444:4
SB	159	next	160
SB	159	first	3463:2
SB	159	last	3472:5
TOK	1167:7	next	1175:2
TOK	4194:5	next	4200:5
TOK	2799:1	next	2800:9
TOK	206:3	next	210:3
SB	161	next	162
SB	161	last	3510:5
SB	161	first	3502:7
SB	160	next	161
SB	160	last	3488:11
SB	160	first	3478:9
SB	163	next	164
SB	163	last	3549:8
SB	163	first	3539:9
SB	162	next	163
SB	162	first	3517:5
SB	162	last	3527:11
SB	168	last	3629:11
SB	168	next	169
SB	168	first	3619:9
SB	169	last	3656:8
SB	169	first	3641:2
SB	169	next	170
SB	166	last	3594:6
SB	166	next	167
SB	166	first	3586:7
TOK	4465:3	next	4469:4
SB	167	last	3611:7
SB	167	next	168
SB	167	first	3602:1
SB	164	next	165
SB	164	last	3564:5
SB	164	first	3558:3
SB	165	first	3570:3
SB	165	next	166
SB	165	last	3576:7
TOK	537:3	next	541:5
TOK	3185:10	next	3196:4
SB	174	next	175
SB	174	last	3762:3
SB	174	first	3738:9
SB	173	last	3726:11
SB	173	next	174
SB	173	first	3726:11
SB	172	first	3700:3
SB	172	last	3719:6
SB	172	next	173
TOK	2152:5	next	2158:2
SB	171	next	172
